==================================================================================
Lottery Ticket Experiment (Replicate 1)
----------------------------------------------------------------------------------
Dataset Hyperparameters
    * dataset_name => mnist
    * batch_size => 60
Model Hyperparameters
    * model_name => mnist_lenet_300_100
    * model_init => kaiming_normal
    * batchnorm_init => uniform
Training Hyperparameters
    * optimizer_name => adam
    * lr => 0.0012
    * training_steps => 50ep
Pruning Hyperparameters
    * pruning_strategy => fisher_pruning
    * pruning_fraction => 0.2
    * dataset_name => mnist
    * num_data_points => 128
Output Location: open_lth_data/lottery_cd1a99b626911386b7d5dcd4f84285bc/replicate_1/level_0/main
==================================================================================

----------------------------------------------------------------------------------
Pruning Level 0
----------------------------------------------------------------------------------
test	ep 021	it 000	loss 0.130	acc 97.91%	ex 10000	time 20.41s
test	ep 022	it 000	loss 0.126	acc 97.99%	ex 10000	time 17.91s
test	ep 023	it 000	loss 0.134	acc 97.87%	ex 10000	time 18.00s
test	ep 024	it 000	loss 0.141	acc 97.60%	ex 10000	time 18.09s
test	ep 025	it 000	loss 0.127	acc 97.95%	ex 10000	time 17.99s
test	ep 026	it 000	loss 0.145	acc 97.70%	ex 10000	time 22.23s
test	ep 027	it 000	loss 0.154	acc 97.78%	ex 10000	time 18.13s
test	ep 028	it 000	loss 0.137	acc 97.84%	ex 10000	time 18.11s
test	ep 029	it 000	loss 0.160	acc 97.72%	ex 10000	time 18.17s
test	ep 030	it 000	loss 0.149	acc 98.04%	ex 10000	time 18.25s
test	ep 031	it 000	loss 0.154	acc 97.83%	ex 10000	time 18.16s
test	ep 032	it 000	loss 0.183	acc 97.80%	ex 10000	time 22.21s
test	ep 033	it 000	loss 0.145	acc 98.02%	ex 10000	time 18.15s
test	ep 034	it 000	loss 0.163	acc 97.86%	ex 10000	time 18.26s
test	ep 035	it 000	loss 0.156	acc 97.82%	ex 10000	time 18.09s
test	ep 036	it 000	loss 0.168	acc 97.74%	ex 10000	time 18.37s
test	ep 037	it 000	loss 0.174	acc 98.09%	ex 10000	time 18.38s
test	ep 038	it 000	loss 0.186	acc 97.90%	ex 10000	time 22.44s
test	ep 039	it 000	loss 0.186	acc 97.91%	ex 10000	time 18.35s
test	ep 040	it 000	loss 0.199	acc 97.67%	ex 10000	time 18.87s
test	ep 041	it 000	loss 0.182	acc 97.85%	ex 10000	time 18.55s
test	ep 042	it 000	loss 0.186	acc 97.81%	ex 10000	time 18.70s
test	ep 043	it 000	loss 0.196	acc 97.77%	ex 10000	time 22.22s
test	ep 044	it 000	loss 0.168	acc 97.93%	ex 10000	time 19.30s
test	ep 045	it 000	loss 0.198	acc 97.84%	ex 10000	time 18.54s
test	ep 046	it 000	loss 0.203	acc 97.88%	ex 10000	time 18.98s
test	ep 047	it 000	loss 0.203	acc 97.70%	ex 10000	time 19.05s
test	ep 048	it 000	loss 0.192	acc 98.10%	ex 10000	time 18.76s
test	ep 049	it 000	loss 0.210	acc 97.86%	ex 10000	time 23.03s
test	ep 050	it 000	loss 0.191	acc 97.85%	ex 10000	time 18.79s
----------------------------------------------------------------------------------
Pruning Level 2
----------------------------------------------------------------------------------
test	ep 000	it 000	loss 2.336	acc 14.74%	ex 10000	time 0.00s
test	ep 001	it 000	loss 0.114	acc 96.37%	ex 10000	time 17.74s
test	ep 002	it 000	loss 0.090	acc 97.34%	ex 10000	time 17.84s
test	ep 003	it 000	loss 0.098	acc 97.03%	ex 10000	time 18.06s
